No,CCTV 유형코드,설치위치_도로명주소,설치위치_위도,설치위치_경도,지번주소,행정동
1,C,성호대로93번길 26,37.151167,127.071677,경기도 오산시 오산동,중앙동
2,C,성산새싹길 13,37.15037,127.065719,경기도 오산시 오산동,중앙동
3,C,현충로72번길 24,37.160448,127.073239,경기도 오산시 은계동,중앙동
4,C,성호새싹길 8,37.149657,127.070278,경기도 오산시 오산동,중앙동
5,C,대원로29번길 16,37.147547,127.071512,경기도 오산시 원동,대원동
6,C,시장58번길 10,37.154019,127.07022,경기도 오산시 오산동,중앙동
7,C,,37.134909,127.068785,경기도 오산시 갈곶동,대원동
8,C,궐리사로46번길 3,37.159277,127.057249,경기도 오산시 궐동,남촌동
9,C,수청로8번길 3-1,37.171089,127.058773,경기도 오산시 수청동,신장동
10,C,가수로 50,37.147591,127.046913,경기도 오산시 가수동,초평동
11,C,운암로 113,37.156356,127.07827,경기도 오산시 오산동,중앙동
12,C,운천로 16-21,37.144328,127.076017,경기도 오산시 원동,대원동
13,C,성산새싹16번길 12,37.150434,127.067171,경기도 오산시 오산동,중앙동
14,C,내삼미로 23,37.164119,127.067938,경기도 오산시 수청동,신장동
15,C,,37.14395,127.049395,경기도 오산시 가수동,초평동
16,C,양산로 448,37.19702,127.032893,경기도 오산시 양산동,세마동
17,C,,37.152479,127.076754,경기도 오산시 오산동,중앙동
18,C,,37.153169,127.078012,경기도 오산시 부산동,중앙동
19,C,,37.129998,127.070552,경기도 오산시 갈곶동,대원동
20,C,,37.131303,127.071367,경기도 오산시 갈곶동,대원동
21,C,,37.141565,127.08999,경기도 오산시 원동,대원동
22,C,부원로87번길 7-6 ,37.142138,127.090228,경기도 오산시 원동,대원동
23,C,오산로132번길 27,37.139607,127.071821,경기도 오산시 원동,대원동
24,C,오산로132번길 27,37.13903,127.071779,경기도 오산시 원동,대원동
25,C,,37.134118,127.083532,경기도 오산시 고현동,대원동
26,C,,37.133146,127.085053,경기도 오산시 고현동,대원동
27,C,,37.161777,127.063024,경기도 오산시 궐동,남촌동
28,C,청학로173번길 14,37.164177,127.062362,경기도 오산시 수청동,신장동
29,C,,37.191512,127.058175,경기도 오산시 외삼미동,세마동
30,C,,37.192397,127.059129,경기도 오산시 외삼미동,세마동
31,C,,37.174768,127.046604,경기도 오산시 금암동,신장동
32,C,,37.17221,127.049558,경기도 오산시 금암동,신장동
33,C,,37.171047,127.049482,경기도 오산시 금암동,신장동
34,C,수청로 75-14,37.173971,127.055265,경기도 오산시 내삼미동,신장동
35,C,,37.170135,127.054978,경기도 오산시 수청동,신장동
36,C,,37.184519,127.044844,경기도 오산시 세교동,세마동
37,C,,37.183286,127.040751,경기도 오산시 세교동,세마동
38,C,,37.155427,127.079306,경기도 오산시 부산동,중앙동
39,C,남부대로 323,37.136027,127.070051,경기도 오산시 원동,대원동
40,C,남부대로441번길 21,37.135736,127.08465,경기도 오산시 원동,대원동
41,C,오산로226번길 25 ,37.147054,127.070974,경기도 오산시 원동,대원동
42,C,,37.143141,127.075624,경기도 오산시 원동,대원동
43,C,남부대로441번길 19 ,37.135465,127.084438,경기도 오산시 고현동,대원동
44,C,운천로 16-22,37.149361,127.065865,경기도 오산시 오산동,중앙동
45,C,법원로 65,37.159183,127.058793,경기도 오산시 궐동,남촌동
