No,도로명,설치장소명,과속방지턱높이,과속방지턱폭,과속방지턱연장,보차분리여부,연속형여부,설치위치_경도,설치위치_위도,경도,지번주소,행정동
1,오산로,소망빌 앞,10,3.6,5.4,N,Y,127.0689542,37.1308521,,갈곶동,대원동
2,동부대로,태영철강재공장 앞,10,3.6,5,N,Y,127.0763048,37.1379463,,원동,대원동
3,밀머리로,메디마트 앞,0,3.6,5.4,Y,Y,127.0750925,37.1414665,,원동,대원동
4,오산로,다인하우스 앞,10,3.6,10,Y,Y,127.071169,37.1438328,,원동,대원동
5,운천로,운천고등학교 앞,10,3.6,6,Y,Y,127.0804662,37.155872,,부산동,중앙동
6,성호대로,오산우체국 앞,10,3.6,5,Y,Y,127.0707807,37.1491688,,오산동,중앙동
7,경기대로,오산동 어린이공원 앞,10,3.6,6,N,Y,127.0726077,37.1512935,,오산동,중앙동
8,청학로,오산중학교 앞,10,3.6,6.5,Y,Y,127.0611847,37.1551243,,청학동,남촌동
9,청학로,세산다세대 부근,10,3.6,4.3,Y,N,127.0625819,37.1526555,,청학동,남촌동
10,청학로,정석빌딩 앞,10,3.6,4.4,Y,N,127.062101,37.1504845,,청학동,남촌동
11,청학로,오산 성도교회 부근,10,3.6,6,Y,Y,127.0648181,37.1556396,,청학동,남촌동
12,운천로,그린사우나 부근,10,3.6,7.2,Y,Y,127.0564966,37.1612145,,궐동,남촌동
13,궐리사로,대호빌딩 앞,10,3.6,6,Y,Y,127.0564966,37.1612145,,궐동,남촌동
14,궐리사로,그리스 세차 앞,10,3.6,5.8,Y,Y,127.056978,37.1611634,,궐동,남촌동
15,청학로,예향 음악학원 앞,10,3.6,5.4,Y,Y,127.0607034,37.1639071,,수청동,신장동
16,오산대역로,물향기마트 앞,10,3.6,5.8,Y,Y,127.0589682,37.16923001,,수청동,신장동
17,오산대역로,수목원마트 앞,10,3.6,6.4,Y,Y,127.059022,37.16895246,,수청동,신장동
18,청학로,매홀초등학교 부근,10,3.6,6.3,Y,Y,127.063412,37.162749,,수청동,신장동
19,수청로,성진아이트래이드,10,3.6,6.3,Y,Y,127.0589339,37.1714118,,수청동,신장동
20,수청로,매홀어린이집 앞,10,3.6,8.5,Y,Y,127.0588254,37.1719859,,수청동,신장동
21,내삼미로,호반베르디움아파트 부근,10,3.6,6.3,Y,Y,127.0662425,37.1752272,,내삼미동,신장동
22,수청로,주현주택 앞,10,3.6,6.5,Y,Y,127.0565697,37.1748109,,내삼미동,신장동
23,수청로,수청어린이집 부근,10,3.6,6.5,Y,Y,127.0519728,37.1771108,,금암동,신장동
24,수청로,소망주택 앞,10,3.6,6.3,Y,N,127.0571925,37.1756251,,내삼미동,신장동
25,수청로,수청동 제2어린이공원 부근,10,3.6,6.3,Y,N,127.0587263,37.1738945,,내삼미동,신장동
26,수청로,제주오피스텔 앞,10,3.6,6.4,Y,N,127.0582849,37.1751571,,내삼미동,신장동
27,양산로,슬라이트 부근,10,3.6,6.2,N,Y,127.0214476,37.1957244,,양산동,세마동
28,수청로,세교10단지 입구 전,10,3.6,5.4,Y,Y,127.051041,37.178863,,금암동,신장동
29,수청로,필봉초등학교 입구 부근,10,3.6,5.4,Y,Y,127.051935,37.178089,,금암동,신장동
