No,시설구분,시설타입,시설명,시설위치_경도,시설위치_위도,지번주소,행정동
1,어린이집,민간,해오름어린이집,127.0843363,37.13238264,청호동,대원동
2,어린이집,가정,햇살가득어린이집,127.0418168,37.1821641,세교동,세마동
3,어린이집,가정,행복한아이들어린이집,127.0794942,37.15289078,부산동,중앙동
4,어린이집,가정,휴튼사과나무어린이집,127.0496376,37.1779755,금암동,신장동
5,어린이집,직장,(주)아모레퍼시픽 오산어린이집,127.0402516,37.16531071,가장동,남촌동
6,어린이집,가정,꼬마천사어린이집,127.0693981,37.14001839,원동,대원동
7,어린이집,가정,꿈꾸는아이어린이집,127.0688327,37.17018661,수청동,신장동
8,어린이집,가정,꿈동산어린이집,127.0826597,37.13016828,청호동,대원동
9,어린이집,가정,꿈동이어린이집,127.0555153,37.16306134,궐동,남촌동
10,어린이집,민간,꿈에그린어린이집,127.0527214,37.17272295,수청동,신장동
11,어린이집,민간,꿈이자라는뜰어린이집,127.0408694,37.18234072,세교동,세마동
12,어린이집,가정,다사랑어린이집,127.0751458,37.15315471,오산동,중앙동
13,어린이집,가정,리틀대통령어린이집,127.0756448,37.14446687,원동,대원동
14,어린이집,민간,리틀램어린이집,127.0351983,37.14258445,벌음동,초평동
15,어린이집,가정,마루어린이집,127.0446544,37.14484764,서동,초평동
16,어린이집,민간,문시어린이집,127.0443671,37.17208718,금암동,신장동
17,어린이집,가정,미소가득어린이집,127.0513561,37.17693639,금암동,신장동
18,어린이집,민간,별다래 어린이집,127.0693872,37.13001264,갈곶동,대원동
19,어린이집,가정,보경어린이집,127.0439361,37.14445727,서동,초평동
20,어린이집,가정,봄빛어린이집,127.0731455,37.13035976,갈곶동,대원동
21,어린이집,가정,사랑나무어린이집,127.0760496,37.15264414,오산동,중앙동
22,어린이집,가정,사랑몬테소리어린이집,127.0794045,37.15689273,부산동,중앙동
23,어린이집,가정,산새소리어린이집,127.0785136,37.15101235,오산동,중앙동
24,어린이집,가정,삼환코코 어린이집,127.0718378,37.13266267,원동,대원동
25,어린이집,가정,i-편한어린이집,127.0705737,37.13721025,원동,대원동
26,어린이집,민간,고은어린이집,127.0335856,37.19065929,양산동,세마동
