시군명,시설구분명,시설명,소재지우편번호,행정동,소재지지번주소,소재지도로명주소,WGS84위도,WGS84경도
오산시,체육도장업,올바른 매홀 태권도장,447738,신장동,경기도 오산시 수청동 533번지 대우(아) 제2상가 201호,"경기도 오산시 매홀로 71, 2층 201호 (수청동, 오산대우아파트 제2상가동)",37.16283461,127.0618308
오산시,체육도장업,고려 승리 태권도,447805,대원동,경기도 오산시 원동 380-1번지 3층,경기도 오산시 밀머리로 45 (원동),37.1378681,127.0753058
오산시,체육도장업,우리아이 태권도장,18122,남촌동,경기도 오산시 궐동 670-7 창용빌딩 4층 ,"경기도 오산시 궐리사로 44, 창용빌딩 4층 (궐동)",37.15986781,127.0572459
오산시,구기체육관,오산죽미체육공원 다목적체육관,18109,신장동,경기도 오산시 금암동 508번지,경기도 오산시 수청로 204-26,37.178638,127.0422832
오산시,구기체육관,오산 맑음터공원 배드민턴장,,중앙동,,경기도 오산시 오산천로 275,,
오산시,구기체육관,오산 실내배드민턴장,18130,중앙동,경기도 오산시 오산동 750-1번지,경기도 오산시 오산천로 52,37.1382527,127.0644453
오산시,체육도장업,두빛나래 비상 태권도장,447330,대원동,"경기도 오산시 청호동 1블럭 휴먼시아아파트 주상가동 204,205호","경기도 오산시 남부대로 486-19, 2층 204호,205호호 (청호동, 제주상가)",37.12945327,127.0875303
오산시,테니스,오산시청 테니스장,18132,중앙동,경기도 오산시 오산동 915번지,경기도 오산시 성호대로 141 (오산동),37.1498057,127.0774446
오산시,테니스,오산 테니스장,18131,중앙동,경기도 오산시 오산동 345-2번지,경기도 오산시 오산천로 267 (오산동),37.1556398,127.0702232
오산시,테니스,죽미체육공원테니스장,,세마동,경기도 오산시 세교동 627,,37.17944,127.0419233
오산시,수영장,오산스포츠센터 수영장,18131,중앙동,경기도 오산시 오산동 40번지,경기도 오산시 경기동로 33,37.1587541,127.0757197
오산시,수영장,세교복지타운 수영장,18131,중앙동,경기도 오산시 오산동 40번지,경기도 오산시 경기동로 33,37.1587541,127.0757197
오산시,수영장,원동초스포츠센터,18146,대원동,경기도 오산시 원동 805번지,경기도 오산시 오산로 92,37.1351683,127.0696986
오산시,육상시설,오산시종합운동장,18131,중앙동,경기도 오산시 오산동 49번지,경기도 오산시 경기동로 15,37.1571965,127.0738045
오산시,기타시설,죽미인공암벽장 (실외),,세마동,경기도 오산시 세교동 627,,37.17944,127.0419233
오산시,기타시설,오산스포츠센터  인공암벽장,18131,중앙동,경기도 오산시 오산동 40번지,경기도 오산시 경기동로 33,37.1587541,127.0757197
오산시,테니스,오산시청 테니스장,18132,중앙동,경기도 오산시 오산동 915번지,경기도 오산시 성호대로 141 (오산동),37.1498057,127.0774446
오산시,테니스,오산 테니스장,18131,중앙동,경기도 오산시 오산동 345-2번지,경기도 오산시 오산천로 267 (오산동),37.1556398,127.0702232
오산시,테니스,죽미체육공원테니스장,,세마동,경기도 오산시 세교동 627,,37.17944,127.0419233
오산시,체육도장업,오산유도체육관,447801,중앙동,경기도 오산시 오산동 861-18번지,경기도 오산시 시장길 6-1  (오산동),37.1495312,127.0693398
오산시,체육도장업,운암으뜸체육관,18140,대원동,경기도 오산시 원동 815-9번지 운암프라자 상가 3층 302호 ,"경기도 오산시 대원로 72 (원동, 운암주공프라자)",37.14597695,127.0763378
오산시,체육도장업,동부태권도장,447310,대원동,경기도 오산시 갈곶동 220-14번지 동부2차a상가105호,"경기도 오산시 경기대로25번길 14  (갈곶동,동부2차a상가105호)",37.1292309,127.0687256
오산시,체육도장업,경희대태권도아카데미,447310,대원동,경기도 오산시 갈곶동 220-14번지 동부2차 상가동 105-108호,"경기도 오산시 경기대로25번길 14, 상가동 105-108호 (갈곶동,동부2차)",37.1292309,127.0687256
오산시,체육도장업,용인대푸르지오태권도,447060,대원동,경기도 오산시 원동 826-2번지 푸르지오아파트상가동 301호,경기도 오산시 남부대로 411-13 (원동),37.1362236,127.0824958
오산시,체육도장업,경희대 나우 태권도 도장,18149,대원동,경기도 오산시 원동 31-2번지 2층 ,"경기도 오산시 부원로 67-3 (원동, 경희대엄지체육관)",37.14300573,127.0865549
오산시,체육도장업,청솔태권도,447160,초평동,경기도 오산시 누읍동 443-2번지,경기도 오산시 누읍로 10  (누읍동),37.1413954,127.0487244
오산시,체육도장업,멋진친구 스포츠 클럽,18127,초평동,경기도 오산시 누읍동 274-2번지 ,"경기도 오산시 수목원로49번길 25, 3층 (누읍동, 윤수빌딩)",37.13916866,127.0518407
오산시,체육도장업,한국체육관,18144,대원동,경기도 오산시 원동 380-1번지,"경기도 오산시 밀머리로 45 (원동, 동진빌딩)",37.1378681,127.0753058
오산시,체육도장업,오산복싱＆킥복싱 멀티짐,18133,중앙동,"경기도 오산시 오산동 925-6번지 401,2호","경기도 오산시 성호대로 123 (오산동, 오산그린프라자)",37.14895112,127.0751701
오산시,체육도장업,세교 경희대 태권도 도장,447280,신장동,"경기도 오산시 금암동 483번지 죽미마을 휴먼시아 8단지 아파트 상가동 203,204호","경기도 오산시 수청로 168, 상가동 2층 203,204호 (금암동)",37.17896986,127.0466751
오산시,체육도장업,용인대 대원 명문 태권도장,18146,대원동,경기도 오산시 갈곶동 259 신웅빌딩 302호,"경기도 오산시 경기대로 53 (갈곶동, 신웅빌딩)",37.12974892,127.071235
오산시,체육도장업,경희대석사 와우 태권도,447280,신장동,경기도 오산시 금암동 세교A-2BL 상가동동 301호,,37.1781765,127.0478119
