No,학교구분,학교명,학교위치_경도,학교위치_위도,지번주소,행정동
1,초등학교,원동초등학교,127.0696986,37.1351683,원동,대원동
2,초등학교,운산초등학교,127.0774136,37.15249986,오산동,중앙동
3,초등학교,화성초등학교,127.0688576,37.16461498,수청동,신장동
4,초등학교,가수초등학교,127.0477491,37.14791946,가수동,초평동
5,초등학교,다온초등학교,127.090752,37.1516978,부산동,중앙동
6,초등학교,매홀초등학교,127.0635868,37.16236518,수청동,신장동
7,초등학교,문시초등학교,127.0458616,37.17414057,금암동,신장동
8,초등학교,성산초등학교,127.0664245,37.14969499,오산동,중앙동
9,초등학교,세미초등학교,127.0646658,37.1739971,내삼미동,신장동
10,초등학교,양산초등학교,127.0321106,37.19688704,양산동,세마동
11,초등학교,오산고현초등학교,127.0855314,37.13336523,고현동,대원동
12,초등학교,오산원당초등학교,127.0908645,37.14194839,원동,대원동
13,초등학교,오산초등학교,127.0499533,37.14475593,가수동,초평동
14,초등학교,운암초등학교,127.0761442,37.14364336,원동,대원동
15,초등학교,운천초등학교,127.0791732,37.15611193,부산동,중앙동
16,초등학교,광성초등학교,127.0400336,37.18380171,세교동,세마동
17,초등학교,금암초등학교,127.044006,37.17838514,금암동,신장동
18,초등학교,대호초등학교,127.0576963,37.15899814,궐동,남촌동
19,초등학교,매홀초등학교삼미분교장,127.063454,37.162672,수청동,신장동
20,초등학교,성호초등학교,127.0709724,37.15003486,오산동,중앙동
21,초등학교,수청초등학교,127.0556667,37.17066759,수청동,신장동
22,초등학교,오산대원초등학교,127.0710562,37.13044603,갈곶동,대원동
23,초등학교,오산원일초등학교,127.0711992,37.13936633,원동,대원동
24,초등학교,필봉초등학교,127.0525529,37.178499,금암동,신장동
