시군명,구/읍면동명,업종구분명,시설명,대표자명,교습과정명,전화번호,소재지우편번호,행정동,소재지지번주소,소재지도로명주소,WGS84위도,WGS84경도
오산시,가수동,학교교과교습학원,유빌라테음악학원,이선희,피아노(체르니30),031-372-6483,18125,초평동,경기도 오산시 가수동 398-1번지 늘푸른오스카빌 상가동 204~206호,"경기도 오산시 가수로 31, 상가동 204~206호 (가수동, 늘푸른오스카빌)",37.1462791,127.0489187
오산시,가수동,교습소,오산미루미술교습소,김정균,미술,031-374-0438,18125,초평동,경기도 오산시 가수동 398-1번지 늘푸른오스카빌상가동398-1 203호,경기도 오산시 가수로 31,37.1462791,127.0489187
오산시,가수동,교습소,오산이현수첼로교습소,이현수,음악,,18125,초평동,경기도 오산시 가수동 398-1번지 늘푸른오스카빌 상가동 202호,경기도 오산시 가수로 31,37.1462791,127.0489187
오산시,가수동,교습소,멘토링수학교습소,안윤정,보습,,18125,초평동,경기도 오산시 가수동 106-3번지 가수주공아파트 상가동 206호,경기도 오산시 발안로 1419-15,37.14580915,127.052419
오산시,가수동,학교교과교습학원,유빌라테음악학원,이선희,피아노(체르니100),031-372-6483,18125,초평동,경기도 오산시 가수동 398-1번지 늘푸른오스카빌 상가동 204~206호,"경기도 오산시 가수로 31, 상가동 204~206호 (가수동, 늘푸른오스카빌)",37.1462791,127.0489187
오산시,가수동,학교교과교습학원,공부를부탁해보습학원,유동숙,영어,031-377-1929,18125,초평동,경기도 오산시 가수동 398-1번지 늘푸른오스카빌 302호,"경기도 오산시 가수로 31, 302호 (가수동, 늘푸른오스카빌)",37.1462791,127.0489187
오산시,가수동,학교교과교습학원,공부를부탁해보습학원,유동숙,"종합(국,수,사,과,논술)",031-377-1929,18125,초평동,경기도 오산시 가수동 398-1번지 늘푸른오스카빌 302호,"경기도 오산시 가수로 31, 302호 (가수동, 늘푸른오스카빌)",37.1462791,127.0489187
오산시,가수동,학교교과교습학원,FNC이레학원,전영철,영어(고등),070-7760-0920,18125,초평동,"경기도 오산시 가수동 27-9번지 , 1,2층","경기도 오산시 가수로 70, 1,2층 (가수동)",37.14755968,127.0460267
오산시,가수동,학교교과교습학원,FNC이레학원,전영철,종합(초등),070-7760-0920,18125,초평동,"경기도 오산시 가수동 27-9번지 , 1,2층","경기도 오산시 가수로 70, 1,2층 (가수동)",37.14755968,127.0460267
오산시,가수동,학교교과교습학원,유빌라테음악학원,이선희,"관현악(바이올린,플룻)",031-372-6483,18125,초평동,경기도 오산시 가수동 398-1번지 늘푸른오스카빌 상가동 204~206호,"경기도 오산시 가수로 31, 상가동 204~206호 (가수동, 늘푸른오스카빌)",37.1462791,127.0489187
오산시,가수동,학교교과교습학원,FNC이레학원,전영철,종합(중등),070-7760-0920,18125,초평동,"경기도 오산시 가수동 27-9번지 , 1,2층","경기도 오산시 가수로 70, 1,2층 (가수동)",37.14755968,127.0460267
오산시,가수동,학교교과교습학원,유빌라테음악학원,이선희,피아노(바이엘),031-372-6483,18125,초평동,경기도 오산시 가수동 398-1번지 늘푸른오스카빌 상가동 204~206호,"경기도 오산시 가수로 31, 상가동 204~206호 (가수동, 늘푸른오스카빌)",37.1462791,127.0489187
