시도명,시군구명,도로명,소재지도로명주소,소재지지번주소,횡단보도관리번호,횡단보도종류,자전거횡단도겸용여부,고원식적용여부,위도,경도,차로수,횡단보도폭,횡단보도연장,보행자신호등유무,보행자작동신호기유무,음향신호기설치여부,녹색신호시간,적색신호시간,교통섬유무,보도턱낮춤여부,점자블록유무,집중조명시설유무,관리기관명,관리기관전화번호,데이터기준일자
9,광명시,-,,경기도 광명시 하안동 863-8,2020-278,1,,N,37.46816347,126.8731306,4,2.99,19.56,N,N,N,,,N,,Y,,광명시 도시교통과,02-2680-2586,2020-12-14
9,광명시,-,,경기도 광명시 하안동 863-5,2020-111,1,,N,37.47045726,126.8717051,4,2.95,15.6,N,N,N,,,N,,Y,,광명시 도시교통과,02-2680-2586,2020-12-14
9,광명시,철망산로,,경기도 광명시 하안동 864-2,2020-283,1,,N,37.4668947,126.8684613,2,2.91,19.39,Y,N,Y,,,N,,Y,,광명시 도시교통과,02-2680-2586,2020-12-14
9,광명시,철산로,,경기도 광명시 철산동 526,2020-36,4,,N,37.47552604,126.8661597,5,2.8,25.5,Y,N,Y,,,Y,,Y,,광명시 도시교통과,02-2680-2586,2020-12-14
9,광명시,오리로914번길,경기도 광명시 오리로 904,경기도 광명시 철산동 220-1,2020-179,1,,N,37.4772809,126.8623636,1,2.8,5,N,N,N,,,N,,Y,,광명시 도시교통과,02-2680-2586,2020-12-14
9,광명시,-,경기도 광명시 광명로 877,경기도 광명시 광명동 200-6,2020-248,1,,N,37.47738711,126.8532822,3,2.76,9.48,Y,N,N,,,N,,Y,,광명시 도시교통과,02-2680-2586,2020-12-14
9,광명시,오리로964번길,경기도 광명시 오리로942번길 2,경기도 광명시 광명동 158-962,2020-189,1,,N,37.47908897,126.8560997,1,2.67,3.42,N,N,N,,,N,,N,,광명시 도시교통과,02-2680-2586,2020-12-14
9,광명시,광명로865번길,,경기도 광명시 광명동 680-47,2020-246,1,,N,37.47659604,126.8529361,1,2,9,N,N,N,,,N,,Y,,광명시 도시교통과,02-2680-2586,2020-12-14
9,광명시,사성로,,경기도 광명시 철산동 453,2020-141,1,,Y,37.48878272,126.8666873,3,1.5,2.3,Y,N,N,,,N,,Y,,광명시 도시교통과,02-2680-2586,2020-12-14
9,광명시,사성로,,경기도 광명시 철산동 453,2020-125,1,,Y,37.49004521,126.8676434,2,1.4,3.3,N,N,N,,,N,,Y,,광명시 도시교통과,02-2680-2586,2020-12-14
9,광명시,사성로103번길,,경기도 광명시 철산동 56-50,2020-127,1,,N,37.49024407,126.8662126,2,1.3,3.2,N,N,N,,,N,,N,,광명시 도시교통과,02-2680-2586,2020-12-14
9,광명시,사성로103번길,,경기도 광명시 철산동 56-50,2020-129,1,,N,37.49024407,126.8662126,2,1.3,3.4,N,N,N,,,N,,Y,,광명시 도시교통과,02-2680-2586,2020-12-14
9,광명시,-,경기도 광명시 사성로103번길 14,경기도 광명시 철산동 55-1번지 광복현대아파트,2020-124,1,,N,37.49059057,126.8678686,2,1.2,2,N,N,N,,,N,,Y,,광명시 도시교통과,02-2680-2586,2020-12-14
9,광명시,철산로30번길,경기도 광명시 디지털로 19-1,경기도 광명시 철산동 632-1,2020-54,1,,N,37.47361345,126.8700125,4,4.4,12.5,Y,N,Y,,,N,,Y,,광명시 도시교통과,02-2680-2586,2020-12-14
9,광명시,오리로991번길,,경기도 광명시 광명동 158-232,2020-195,1,,N,37.47964622,126.8531506,2,4.4,5.68,N,N,N,,,N,,Y,,광명시 도시교통과,02-2680-2586,2020-12-14
9,광명시,새터로,,경기도 광명시 광명동 158-232,2020-182,1,,N,37.47812547,126.8584446,1,4.38,4.96,N,N,N,,,N,,N,,광명시 도시교통과,02-2680-2586,2020-12-14
9,광명시,오리로,경기도 광명시 오리로 864,경기도 광명시 철산동 523,2020-33,1,,N,37.47596386,126.8649069,2,4.3,7.6,Y,N,N,,,N,,Y,,광명시 도시교통과,02-2680-2586,2020-12-14
9,광명시,모세로,경기도 광명시 모세로 27,경기도 광명시 철산동 235번지 철산8단지주공아파트,2020-62,1,,Y,37.48122313,126.8706155,2,4.3,9.8,Y,N,N,,,N,,Y,,광명시 도시교통과,02-2680-2586,2020-12-14
9,광명시,광이로,경기도 광명시 오리로942번길 2,경기도 광명시 광명동 158-962,2020-186,1,,N,37.47866725,126.8575476,2,4.23,7.59,Y,N,N,,,N,,Y,,광명시 도시교통과,02-2680-2586,2020-12-14
9,광명시,오리로995번길,,경기도 광명시 광명동 158-914,2020-196,1,,N,37.47979647,126.8526133,2,4.21,8.32,N,N,N,,,N,,Y,,광명시 도시교통과,02-2680-2586,2020-12-14
9,광명시,철산로,,경기도 광명시 철산동 526,2020-16,1,,N,37.28328411,126.5231092,2,4.2,8.8,N,N,N,,,N,,Y,,광명시 도시교통과,02-2680-2586,2020-12-14
9,광명시,철산로,,경기도 광명시 철산동 526,2020-17,1,,N,37.28328411,126.5231092,2,4.2,5.6,N,N,N,,,N,,Y,,광명시 도시교통과,02-2680-2586,2020-12-14
9,광명시,-,경기도 광명시 디지털로64,경기도 광명시 철산동 367번지 철산한신아파트,2020-101,1,,N,37.47013435,126.8773155,3,4.2,10.2,Y,N,N,,,N,,N,,광명시 도시교통과,02-2680-2586,2020-12-14
9,광명시,-,,경기도 광명시 하안동 711-2,2020-103,1,,N,37.46999497,126.8775842,2,4.2,10.2,Y,N,N,,,N,,Y,,광명시 도시교통과,02-2680-2586,2020-12-14
9,광명시,사성로,,경기도 광명시 철산동 56-50,2020-143,1,,N,37.48673567,126.8651306,2,4.2,8.7,N,N,N,,,N,,N,,광명시 도시교통과,02-2680-2586,2020-12-14
9,광명시,안양천로,,경기도 광명시 철산동 459,2020-159,4,,Y,37.48498987,126.871098,1,4.2,5.4,Y,N,Y,,,Y,,Y,,광명시 도시교통과,02-2680-2586,2020-12-14
9,광명시,가마산로,,경기도 광명시 철산동 105,2020-162,1,,Y,37.48471785,126.8695353,2,4.2,17,Y,N,N,,,N,,N,,광명시 도시교통과,02-2680-2586,2020-12-14
9,광명시,시청로138번길,,경기도 광명시 철산동 470-1,2020-168,1,,N,37.48637034,126.8687551,2,4.2,9.6,N,N,N,,,N,,N,,광명시 도시교통과,02-2680-2586,2020-12-14
9,광명시,시청로138번길,,경기도 광명시 철산동 470-1,2020-169,1,,N,37.48627569,126.8687185,2,4.2,10.6,N,N,N,,,N,,N,,광명시 도시교통과,02-2680-2586,2020-12-14
9,광명시,시청로138번길,,경기도 광명시 철산동 470-1,2020-170,1,,Y,37.48687026,126.8686355,2,4.2,13,N,N,N,,,N,,N,,광명시 도시교통과,02-2680-2586,2020-12-14
9,광명시,가마산로,,경기도 광명시 철산동 478,2020-173,1,,N,37.48427652,126.8676592,2,4.2,10.2,N,N,N,,,N,,Y,,광명시 도시교통과,02-2680-2586,2020-12-14
9,광명시,-,경기도 광명시 가림로 38,경기도 광명시 하안동 702,2020-301,1,,N,37.46411761,126.8666944,2,4.2,7.1,Y,N,N,,,N,,Y,,광명시 도시교통과,02-2680-2586,2020-12-14
9,광명시,-,경기도 광명시 안현로 15,경기도 광명시 하안동 682,2020-309,1,,N,37.46386445,126.8741099,2,4.2,6.6,N,N,N,,,N,,Y,,광명시 도시교통과,02-2680-2586,2020-12-14
9,광명시,-,경기도 광명시 하안로 317,경기도 광명시 하안동 711-8,2020-315,1,,N,37.46485961,126.8758123,2,4.2,6.9,N,N,N,,,N,,Y,,광명시 도시교통과,02-2680-2586,2020-12-14
9,광명시,하안로,경기도 광명시 하안로 317,경기도 광명시 하안동 711-8,2020-324,1,,N,37.4637613,126.8788745,3,4.2,10.3,N,N,N,,,N,,Y,,광명시 도시교통과,02-2680-2586,2020-12-14
9,광명시,오리로1004번길,,경기도 광명시 광명동 158-186,2020-198,1,,N,37.48030243,126.8519283,2,4.14,13.21,N,N,N,,,N,,Y,,광명시 도시교통과,02-2680-2586,2020-12-14
9,광명시,디지털로,경기도 광명시 디지털로 5,경기도 광명시 철산동 418,2020-58,4,,N,37.47374576,126.8674573,1,4.1,5,N,N,N,,,Y,,Y,,광명시 도시교통과,02-2680-2586,2020-12-14
9,광명시,-,경기도 광명시 안현로 34,경기도 광명시 하안동 650,2020-311,1,,Y,37.46368441,126.8742628,2,4.1,6.8,N,N,N,,,N,,Y,,광명시 도시교통과,02-2680-2586,2020-12-14
9,광명시,목감로,,경기도 광명시 광명동 158-186,2020-212,1,,N,37.48537161,126.8563929,2,4.08,5.62,Y,N,N,,,N,,Y,,광명시 도시교통과,02-2680-2586,2020-12-14
9,광명시,목감로,,경기도 광명시 광명동 233,2020-232,1,,N,37.4744561,126.8458351,4,4.05,11.91,Y,N,Y,,,N,,N,,광명시 도시교통과,02-2680-2586,2020-12-14
9,광명시,철산로29번길,,경기도 광명시 철산동 508,20-Jul,1,,N,37.28492557,126.5243291,4,4,10,Y,N,Y,,,N,,Y,,광명시 도시교통과,02-2680-2586,2020-12-14
9,광명시,철산로29번길,,경기도 광명시 철산동 508,20-Aug,1,,N,37.28453357,126.5256274,3,4,8.8,N,N,N,,,N,,Y,,광명시 도시교통과,02-2680-2586,2020-12-14
