,id,acc_sum,lon1,lat1,lon2,lat2,cctv,cross,speedBump,parking,trafficLight,youth,baby,build,latM,lonM,youchiwon,elementry,academy,gym,school_zone,result,per,grade
0,0,0,126.9942156,37.17418236,126.9953361,37.17508854,0,0,0,0,0,0.0,0.0,0.0,37.17372927000001,126.99477585,0,0,0,0,0,0,0,0
1,1,0,126.9942096,37.17508374,126.9953301,37.17598992,0,0,0,0,0,0.0,0.0,0.0,37.17463065,126.99476985,0,0,0,0,0,0,0,0
2,2,0,126.9942036,37.17598512,126.9953241,37.1768913,0,0,0,0,0,0.0,0.0,0.0,37.17553203,126.99476385,0,0,0,0,0,0,0,0
3,3,0,126.9941976,37.1768865,126.9953181,37.17779268,0,0,0,0,0,0.0,0.0,0.0,37.17643341,126.99475785,0,0,0,0,0,0,0,0
4,4,0,126.9953421,37.17418716,126.9964625,37.17509333,0,0,0,0,0,0.0,0.0,0.0,37.17373407000001,126.99590235,0,0,0,0,0,0,0,0
5,5,0,126.9953361,37.17508854,126.9964565,37.17599472,0,0,0,0,0,0.0,0.0,0.0,37.17463545,126.99589635,0,0,0,0,0,0,0,0
6,6,0,126.9953301,37.17598992,126.9964506,37.1768961,0,0,0,0,0,0.0,0.0,0.0,37.17553683,126.99589035,0,0,0,0,0,0,0,0
7,7,0,126.9953241,37.1768913,126.9964446,37.17779748,0,0,0,0,0,0.0,0.0,0.0,37.17643821,126.99588435,0,0,0,0,0,0,0,0
8,8,0,126.9953181,37.17779268,126.9964386,37.17869886,0,0,0,0,0,0.0,0.0,0.0,37.17733959,126.99587835,0,0,0,0,0,0,0,0
9,9,0,126.9964745,37.17329057,126.9975949,37.17419673,0,0,0,0,0,0.0,0.0,0.0,37.17283748,126.99703475,0,0,0,0,0,0,0,0
10,10,0,126.9964685,37.17419195,126.997589,37.17509812,0,0,0,0,0,0.0,0.0,0.0,37.17373886,126.99702875,0,0,0,0,0,0,0,0
11,11,0,126.9964625,37.17509333,126.997583,37.1759995,0,0,0,0,0,0.0,0.0,0.0,37.17464024,126.99702275,0,0,0,0,0,0,0,0
12,12,0,126.9964565,37.17599472,126.997577,37.17690088,0,0,0,0,0,0.0,0.0,0.0,37.17554163,126.99701675,0,0,0,0,0,0,0,0
13,13,0,126.9964506,37.1768961,126.9975711,37.17780226,0,0,0,0,0,0.0,0.0,0.0,37.17644301,126.99701085,0,0,0,0,0,0,0,0
14,14,0,126.9964446,37.17779748,126.9975651,37.17870364,0,0,0,0,0,0.0,0.0,0.0,37.17734439,126.99700485,0,0,0,0,0,0,0,0
15,15,0,126.9964386,37.17869886,126.9975591,37.17960502,0,0,0,0,0,0.0,0.0,0.0,37.17824577,126.99699885,0,0,0,0,0,0,0,0
16,16,0,126.9964326,37.17960024,126.9975531,37.1805064,0,0,0,0,0,0.0,0.0,0.0,37.17914715000001,126.99699285,0,0,0,0,0,0,0,0
17,17,0,126.9976009,37.17329535,126.99872140000002,37.1742015,0,0,0,0,0,0.0,0.0,0.0,37.17284226,126.99816115000002,0,0,0,0,0,0,0,0
18,18,0,126.9975949,37.17419673,126.9987154,37.17510289,0,0,0,0,0,0.0,0.0,0.0,37.17374364,126.99815515,0,0,0,0,0,0,0,0
19,19,0,126.997589,37.17509812,126.9987095,37.17600427,0,0,0,0,0,0.0,0.0,0.0,37.17464503000001,126.99814925,0,0,0,0,0,0,0,0
20,20,0,126.997583,37.1759995,126.9987035,37.17690565,0,0,0,0,0,0.0,0.0,0.0,37.17554641,126.99814325,0,0,0,0,0,0,0,0
21,21,0,126.997577,37.17690088,126.9986975,37.17780703,0,0,0,0,0,0.0,0.0,0.0,37.17644779,126.99813725,0,0,0,0,0,0,0,0
22,22,0,126.9975711,37.17780226,126.9986916,37.17870841,0,0,0,0,0,0.0,0.0,0.0,37.17734917,126.99813135,0,0,0,0,0,0,0,0
23,23,0,126.9975651,37.17870364,126.9986856,37.17960979,0,0,0,0,0,0.0,0.0,0.0,37.17825055,126.99812535,0,0,0,0,0,0,0,0
24,24,0,126.9975591,37.17960502,126.9986797,37.18051117,0,0,0,0,0,0.0,0.0,0.0,37.17915193,126.99811935,0,0,0,0,0,0,0,0
25,25,0,126.9987273,37.17330012,126.99984779999998,37.17420626,0,0,0,0,0,0.0,0.0,0.0,37.17284703,126.99928755,0,0,0,0,0,0,0,0
26,26,0,126.99872140000002,37.1742015,126.9998419,37.17510765,0,0,0,0,0,0.0,0.0,0.0,37.17374841,126.99928165000004,0,0,0,0,0,0,0,0
27,27,0,126.9987154,37.17510289,126.99983590000002,37.17600903,0,0,0,0,0,0.0,0.0,0.0,37.1746498,126.99927565000002,0,0,0,0,0,0,0,0
28,28,0,126.9987095,37.17600427,126.99983,37.17691041,0,0,0,0,0,0.0,0.0,0.0,37.17555118,126.99926975,0,0,0,0,0,0,0,0
29,29,0,126.9987035,37.17690565,126.999824,37.17781179,0,0,0,0,0,0.0,0.0,0.0,37.17645256,126.99926375,0,0,0,0,0,0,0,0
30,30,0,126.9986975,37.17780703,126.99981809999998,37.17871317,0,0,0,0,0,0.0,0.0,0.0,37.17735394,126.99925775,0,0,0,0,0,0,0,0
31,31,0,126.9986916,37.17870841,126.9998121,37.17961455,0,0,0,0,0,0.0,0.0,0.0,37.17825532000001,126.99925185,0,0,0,0,0,0,0,0
32,32,0,126.9986856,37.17960979,126.9998062,37.18051593,0,0,0,0,0,0.0,0.0,0.0,37.17915670000001,126.99924585,0,0,0,0,0,0,0,0
33,33,0,126.9986797,37.18051117,126.9998003,37.18141732,0,0,0,0,0,0.0,0.0,0.0,37.18005808000001,126.99923995,0,0,0,0,0,0,0,0
34,34,0,126.9998597,37.1724035,127.0009802,37.17330963,0,0,0,0,0,0.0,0.0,0.0,37.17195041,127.00041995,0,0,0,0,0,0,0,0
35,35,0,126.9998537,37.17330488,127.0009742,37.17421101,0,0,0,0,0,0.0,0.0,0.0,37.17285179000001,127.00041395,0,0,0,0,0,0,0,0
36,36,0,126.99984779999998,37.17420626,127.0009683,37.1751124,0,0,0,0,0,0.0,0.0,0.0,37.17375317,127.00040805,0,0,0,0,0,0,0,0
37,37,0,126.9998419,37.17510765,127.0009624,37.17601378,0,0,0,0,0,0.0,0.0,0.0,37.17465456000001,127.00040215,0,0,0,0,0,0,0,0
38,38,0,126.99983590000002,37.17600903,127.0009564,37.17691516,0,0,0,0,0,0.0,0.0,0.0,37.17555594000001,127.00039615000004,0,0,0,0,0,0,0,0
39,39,0,126.99983,37.17691041,127.0009505,37.17781654,0,0,0,0,0,0.0,0.0,0.0,37.17645732,127.00039025,0,0,0,0,0,0,0,0
40,40,0,126.99981809999998,37.17871317,127.0009386,37.1796193,0,0,0,0,0,0.0,0.0,0.0,37.17826008,127.00037835,0,0,0,0,0,0,0,0
41,41,0,126.9998121,37.17961455,127.0009327,37.18052069,0,0,0,0,0,0.0,0.0,0.0,37.17916146,127.00037235,0,0,0,0,0,0,0,0
42,42,0,126.9998062,37.18051593,127.0009268,37.18142207,0,0,0,0,0,0.0,0.0,0.0,37.18006284000001,127.00036645,0,0,0,0,0,0,0,0
43,43,0,127.000992,37.17150687,127.0021125,37.17241299,0,0,0,0,0,0.0,0.0,0.0,37.17105378000001,127.00155225,0,0,0,0,0,0,0,0
44,44,0,127.0009861,37.17240825,127.0021066,37.17331437,0,0,0,0,0,0.0,0.0,0.0,37.17195516,127.00154635,0,0,0,0,0,0,0,0
45,45,0,127.0009802,37.17330963,127.0021007,37.17421575,0,0,0,0,0,0.0,0.0,569.87,37.17285654,127.00154045000002,0,0,0,0,0,0,98,N
46,46,0,127.0009742,37.17421101,127.0020947,37.17511713,0,0,0,0,0,0.0,0.0,0.0,37.17375792,127.00153445,0,0,0,0,0,0,0,0
47,47,0,127.0009683,37.1751124,127.0020888,37.17601852,0,0,0,0,0,0.0,0.0,0.0,37.17465931000001,127.00152855,0,0,0,0,0,0,0,0
