,acc_sum,grade,id,latM,lonM,school_zone,cross,parking,cctv,speedBump,trafficLight
0,10,A,3681,37.14068803000001,127.07381405,1,5,1354,1,0,8
1,5,A,2925,37.16948736000001,127.06126175,1,3,328,0,0,8
2,5,A,3689,37.14789919,127.07377355,1,4,9,0,0,7
3,4,A,3415,37.13255916,127.06935625,1,4,4,1,0,8
4,4,A,3874,37.15783067000001,127.07822255,1,2,21,0,0,2
5,3,A,3145,37.16138731,127.06468745000002,1,2,0,0,0,5
6,3,A,3831,37.15512247000001,127.07711145000002,1,2,0,1,0,0
7,3,A,3212,37.14877194,127.06588595,1,3,3,1,0,1
8,3,A,3483,37.13256325,127.07048205,1,2,3,0,0,0
9,2,A,3872,37.15602789,127.07823265000002,1,2,3,0,0,5
10,2,A,1580,37.18202988,127.04091055,1,0,46,1,0,6
11,2,A,1652,37.17572454,127.04207525,1,1,31,0,0,4
12,2,A,3570,37.15149664000001,127.07150105,1,0,0,0,0,0
13,2,A,2853,37.17218735,127.06011965,1,2,3,0,0,6
14,2,A,3614,37.132571399999996,127.07273375,1,3,5,2,0,0
15,2,A,3364,37.14878018,127.06813805,1,3,94,0,0,0
16,2,A,3290,37.14697328,127.06702235000002,1,0,84,0,0,0
17,2,A,4049,37.13351289000001,127.08398715,1,0,3,2,0,0
18,1,A,2489,37.17487045,127.05447165,1,4,11,0,0,6
19,1,A,2993,37.1622804,127.06242975,1,1,7,1,0,0
